Peak,Artist,SongName,Weeks
3,Chris Stapleton,Starting Over,211
1,Luke Combs,What You See Is What You Get,264
1,J. Cole,2014 Forest Hills Drive,521
18,MF Doom,MM..Food,3
32,Perry Como,Greatest Christmas Songs,14
2,Summer Walker,Over It,269
77,Pitbull,Greatest Hits,185
2,Jimin,Muse,19
1,Rod Wave,Nostalgia,63
159,J. Cole,The Warm Up,1
2,Tom Petty And The Heartbreakers,Greatest Hits,594
161,Father John Misty,Mahashmashana,1
1,Drake,Scorpion,335
1,The Weeknd,Beauty Behind The Madness,328
2,Soundtrack,Moana,397
2,Lady Gaga,The Fame,393
34,Daryl Hall  John Oates,The Very Best Of Daryl Hall  John Oates,271
1,Lil Durk,7220,139
1,Toby Keith,35 Biggest Hits,178
1,Katy Perry,Teenage Dream,401
1,Taylor Swift,Fearless (Taylor's Version),171
10,PARTYNEXTDOOR,PARTYNEXTDOOR 4 (P4),31
18,GloRilla,Ehhthang Ehhthang,34
18,Laufey,Bewitched,40
87,Tucker Wetmore,Waves On A Sunset,8
48,Real Boston Richey,Richey Rich,3
120,Myles Smith,A Minute... (EP),3
112,Cigarettes After Sex,Cigarettes After Sex,68
1,XXXTENTACION,?,345
15,Koe Wetzel,9 Lives,18
25,ABBA,Gold: Greatest Hits,354
1,Usher,Confessions,235
58,Sam Barber,Restless Mind,4
3,Guns N' Roses,Greatest Hits,704
97,BigXthaPlug,Amar,68
14,Fleetwood Mac,Greatest Hits,318
9,Chris Brown,11:11,54
1,Future,DS2,294
1,Lil Wayne,Tha Carter III,273
22,Thomas Rhett,20 Number Ones,60
1,"Tyler, The Creator",Call Me If You Get Lost,130
1,Karol G,Manana Sera Bonito,90
32,Frank Sinatra,Ultimate Sinatra,154
1,Kanye West,My Beautiful Dark Twisted Fantasy,295
2,Juice WRLD,Fighting Demons,73
71,Tyler Childers,Purgatory,221
1,Bad Bunny,Nadie Sabe Lo Que Va A Pasar Manana,59
8,Lainey Wilson,Whirlwind,8
36,Aerosmith,Greatest Hits,66
15,Latto,Sugar Honey Iced Tea,16
3,Jelly Roll,Whitsitt Chapel,77
