Peak,Artist,SongName,Weeks
1,Jung Kook Feat. Latto,Seven,72
39,Eminem,Without Me,164
11,Stephen Sanchez,Until I Found You,133
23,Benson Boone,Slow It Down,36
34,The Weeknd Feat. Daft Punk,Starboy,178
141,Maluma,Cosas Pendientes,1
48,Chappell Roan,Pink Pony Club,22
16,Zach Bryan,Pink Skies,27
52,Imagine Dragons,Believer,221
55,DJ Glenner & MC Tuto,Barbie,5
65,Rauw Alejandro,Tu Con El,2
10,Fleetwood Mac,Dreams,191
1,Harry Styles,As It Was,139
3,Charli xcx Feat. Billie Eilish,Guess,17
150,Twenty One Pilots,The Line,1
73,Myke Towers Feat. benny blanco,Degenere,5
15,The Weeknd & Anitta,Sao Paulo,4
82,The Chainsmokers & Coldplay,Something Just Like This,179
23,Zach Bryan,Something In The Orange,135
28,Shakira,Soltera,9
42,Coldplay,Viva La Vida,119
110,Hozier,Take Me To Church,191
79,OneRepublic,Counting Stars,192
29,Linkin Park,Two Faced,2
96,The Police,Every Breath You Take,121
15,Paul McCartney,Wonderful Christmastime,24
22,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,White Christmas,25
57,Rauw Alejandro & Laura Pausini,Se Fue,2
94,Arctic Monkeys,505,67
29,G-Dragon,POWER,3
24,LISA,Moonlit Floor,8
103,Juice WRLD,Lucid Dreams,39
96,Frank Ocean,Pink + White,69
31,Nat King Cole,Deck The Halls,20
19,Tate McRae,It's Ok I'm Ok,11
21,Darlene Love,Christmas (Baby Please Come Home),24
25,JIN,I'll Be There,5
70,Billie Eilish & Khalid,Lovely,216
2,Dua Lipa,Levitating,210
173,Juice WRLD,All Girls Are The Same,6
12,Mitski,My Love Mine All Mine,59
21,Coolio Feat. L.V.,Gangsta's Paradise,137
120,Keane,Somewhere Only We Know,43
14,Ed Sheeran & Elton John,Merry Christmas,15
129,Cigarettes After Sex,Apocalypse,22
181,Woodkid,To Ashes And Blood,1
15,"Sevdaliza, Pabllo Vittar & Yseult",Alibi,22
42,Eminem,Mockingbird,95
91,Travis Scott,Goosebumps,86
1,The Kid LAROI & Justin Bieber,Stay,177
109,Michael Jackson,Billie Jean,73
23,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,Jingle Bells,23
2,David Guetta & Bebe Rexha,I'm Good (Blue),118
83,Travis Scott,Highest In The Room,55
1,"Future, Metro Boomin & Kendrick Lamar",Like That,34
65,"Madhubanti Bagchi, Divya Kumar & Sachin-Jigar","Aaj Ki Raat (From ""Stree 2"")",15
73,Lana Del Rey vs. Cedric Gervais,Summertime Sadness,121
21,Mark Ambor,Belong Together,35
131,CoComelon,Wheels On The Bus,21
70,Bruno Mars,When I Was Your Man,85
148,HUGEL X Topic X Arash Feat. Daecolm,I Adore You,5
22,Chuck Berry,Run Rudolph Run,22
176,Don Toliver,No Pole,3
131,Don Toliver,New Drop,9
200,Lil Tecca,Ran$om,1
